feature,importance
redshift,0.2046283598299835
spectral_type_M,0.1274560995077397
galaxy_population_Blue_Cloud,0.06854786094582899
galaxy_population_Red_Sequence,0.0659973934814228
g,0.06337541113221738
r,0.05302858736999281
z,0.05261334034327563
r_i,0.0474987935767958
u,0.04500129423901327
u_g,0.04317269077375185
i,0.04175336831750898
spectral_type_A/F,0.04008933572032454
alpha,0.03057879511561776
g_r,0.030414012858597704
delta,0.024574193389031992
spectral_type_O/B,0.022504978166121792
i_z,0.021358902501227905
spectral_type_G/K,0.017406582731547653
