feature,importance
redshift,0.2930002331322
g_r,0.12209995787958589
r_i,0.06984237393080987
z,0.06750805780273812
g,0.06059289275779862
spectral_type_M,0.058827012898690474
galaxy_population_Red_Sequence,0.04459679373267546
u,0.04348071628357879
i,0.04306689515862674
u_g,0.04218970166449404
r,0.04216835218815838
galaxy_population_Blue_Cloud,0.03152737037998842
alpha,0.02617606450309862
i_z,0.01995527816703762
delta,0.01895045033921436
spectral_type_A/F,0.006684694871997957
spectral_type_O/B,0.0047206748599439635
spectral_type_G/K,0.004612479449362677
